                                                                Profile results (total time)
Proc Name                                                                                                    Self CPU    Total CPU    Real Time     Overtime        Calls
--------------------------------------------------------------------------------------------------------    ---------    ---------    ---------    ---------    ---------
/datum/controller/subsystem/atoms/Initialize                                                                    0.163       35.373       40.317        0.161            1
/datum/controller/subsystem/atoms/proc/InitializeAtoms                                                          0.855       35.208       40.315        0.001            1
/datum/controller/subsystem/mapping/proc/loadLateMaps                                                           0.000       29.266       31.365        0.000            1
/datum/map_template/proc/load_new_z                                                                             0.001       29.265       31.127        0.000           17
/datum/controller/subsystem/atoms/proc/InitAtom                                                                 1.150       27.826       30.855        0.016       885342
/dmm_suite/load_map                                                                                             0.066       24.396      137.796        0.002         1360
/dmm_suite/proc/load_map_impl                                                                                   4.434       24.293      137.706        0.176         1360
/dmm_suite/proc/parse_grid                                                                                     12.940       17.152       19.941        0.054       261699
/turf/simulated/floor/update_icon                                                                               4.557       16.976       17.191        0.001       823122
/datum/controller/subsystem/air/Initialize                                                                      0.259        9.226       10.547        0.000            1
/turf/simulated/floor/LateInitialize                                                                            0.093        9.007        9.123        0.000        92084
/turf/simulated/update_air_properties                                                                           2.079        8.965        9.063        0.003       236667
/turf/simulated/mineral/update_icon                                                                             2.262        8.734        8.655        0.721       421773
/datum/controller/subsystem/lighting/Initialize                                                                 0.000        7.618        8.154        0.000            1
/datum/random_map/proc/generate                                                                                 0.000        6.598        6.597        0.000            6
/datum/random_map/New                                                                                           0.000        6.598        6.598        0.000            6
/datum/controller/subsystem/planets/Initialize                                                                  0.000        6.385        6.385        0.000            1
/datum/controller/subsystem/planets/proc/allocateTurfs                                                          6.383        6.383        6.383        6.383            1
/turf/simulated/Initialize                                                                                      0.181        6.224        8.520        0.000       231325
/proc/seed_submaps                                                                                              0.068        6.008        6.697        0.000            5
/turf/simulated/floor/Initialize                                                                                0.120        5.923        8.191        0.002       108922
/turf/simulated/mineral/Initialize                                                                              0.213        5.535        5.574        0.000        86573
/atom/New                                                                                                       0.660        5.157        5.073        0.119       871963
/datum/map_template/tether_lateload/away_aerostat_surface/on_map_loaded                                         0.000        5.151        5.516        0.000            1
/datum/controller/subsystem/lighting/proc/internal_process_lights                                               0.079        4.770        4.882        0.000           78
/datum/light_source/proc/apply_lum                                                                              2.879        4.629        4.626        0.042        22414
/datum/map_template/proc/preload_size                                                                           0.003        4.507      114.445        0.000         1220
/atom/New                                                                                                       0.327        4.482        4.447        0.030       871963
/datum/controller/subsystem/machines/Initialize                                                                 0.038        4.449        4.540        0.038            1
/zone/proc/add                                                                                                  0.279        4.277        4.443        0.000       163917
/datum/random_map/automata/generate_map                                                                         0.000        4.202        4.202        0.000            3
/datum/random_map/automata/proc/iterate                                                                         2.271        4.202        4.202        2.236           15
/turf/simulated/floor/Initialize                                                                                0.178        4.005        6.259        0.002       108922
/atom/proc/add_overlay                                                                                          1.597        3.801        3.810        0.264       780638
/datum/controller/subsystem/machines/proc/setup_atmos_machinery                                                 0.040        3.706        3.833        0.001            1
/turf/simulated/Initialize                                                                                      0.261        3.651        5.934        0.002       231325
/dmm_suite/proc/instance_atom                                                                                   0.356        3.645        5.414        0.001       278005
/turf/Initialize                                                                                                0.796        3.487        5.769        0.002       466974
/datum/map_template/proc/load                                                                                   0.002        3.249        5.539        0.000          123
/datum/map_template/tether_lateload/away_beach_cave/on_map_loaded                                               0.000        3.042        3.162        0.000            1
/datum/radio_frequency/proc/post_signal                                                                         0.016        2.873        2.868        0.000         3104
/datum/radio_frequency/proc/send_to_filter                                                                      1.119        2.857        2.852        0.022         6270
/proc/updateVisibility                                                                                          0.545        2.570        2.607        0.009       291981
/datum/controller/subsystem/events/Initialize                                                                   0.001        2.568        2.568        0.000            1
/decl/overmap_event_handler/proc/create_events                                                                  0.005        2.566        2.566        0.005            1
/obj/effect/overmap/event/Initialize                                                                            0.155        2.524        2.523        0.153          344
/obj/effect/overmap/Initialize                                                                                  1.700        2.421        2.429        1.628          359
/datum/map_template/tether_lateload/tether_underdark/on_map_loaded                                              0.000        2.402        2.409        0.000            1
/turf/simulated/wall/Initialize                                                                                 0.072        2.397        2.344        0.001        13502
/turf/Entered                                                                                                   0.053        2.280        2.324        0.001        81978
/datum/random_map/proc/apply_to_map                                                                             0.061        2.261        2.261        0.061            6
/atom/proc/build_appearance_list                                                                                2.175        2.210        2.258        0.285       773084
/turf/Entered                                                                                                   0.063        2.207        2.254        0.000        81978
/turf/simulated/Entered                                                                                         0.055        2.174        2.191        0.001        77384
/turf/Entered                                                                                                   0.085        2.145        2.194        0.000        81978
/turf/c_airblock                                                                                                2.070        2.140        2.260        0.001      1759783
/decl/observ/proc/raise_event                                                                                   2.079        2.083        2.139        0.010       236783
/turf/simulated/return_air                                                                                      0.149        2.066        2.074        0.000       164807
/datum/controller/subsystem/planets/proc/addTurf                                                                2.045        2.045        2.066        0.000        80413
/turf/simulated/floor/outdoors/grass/sif/Initialize                                                             0.046        2.032        2.032        0.000        45309
/turf/simulated/floor/outdoors/grass/Initialize                                                                 0.038        2.030        2.043        0.000        46852
